device,model,seed,split,tag,name_cn,unit,r2,rmse,mae,bias,within_tolerance,train_min,train_max,samples
DEA,TCN,20260801,test,SYG1_10LAA10CL101,#1 机除氧器液位 1,mm,-8.633864402770996,73.49722305553455,19.358585357666016,-1.901604533195496,0.4621673576209556,1799.865966796875,2373.44384765625,43177
DEA,TCN,20260801,test,SYG1_10LAA10CL102,#1 机除氧器液位 2,mm,-20.48398971557617,107.53925064685684,20.27691650390625,3.3520290851593018,0.4708293767515112,1745.8189697265625,2377.288818359375,43177
DEA,TCN,20260801,test,SYG1_10LAA10CL103,#1 机除氧器液位 3,mm,-8.98455810546875,66.59806854838209,18.89933204650879,-4.685316562652588,0.3931028093660977,1803.925048828125,2460.60205078125,43177
DEA,TCN,20260801,test,SYG1_10LAA10CL101-SEL,#1 机除氧器液位三选,-,-10.657787322998049,70.71727586289471,15.598981857299805,-3.54675817489624,,1797.94287109375,2375.15283203125,43177
DEA,TCN,20260801,test,SYG1_10CBA00CBK00R107,#1汽机除氧器出口O2（汽水取样画面的除氧器出口溶解氧）,μg/L,-602.0278930664062,14.447394873399483,1.3167680501937866,0.9120845198631288,0.9963406443245246,0.0630000829696655,100.58699798583984,43177
DEA,TCN,20260802,train,SYG1_10LAA10CP101,#1 机除氧器压力 1,MPa,0.991141438484192,0.0227725375318267,0.0168156754225492,-0.0057678031735122,0.9981787105270532,0.2540000081062317,1.0740000009536743,35689
DEA,TCN,20260802,train,SYG1_10LAA10CP102,#1 机除氧器压力 2,MPa,0.990073263645172,0.0239937580537707,0.0168524254113435,-0.0063926470465958,0.9964414805682424,0.2520000040531158,1.065000057220459,35689
DEA,TCN,20260802,train,SYG1_10LAA10CT101,#1 机除氧器温度 1,℃,0.9894077777862548,1.4339551755903728,1.051565647125244,-0.4167848825454712,0.5973269074504749,140.25601196289062,186.7330017089844,35689
DEA,TCN,20260802,train,SYG1_10LAA10CT102,#1 机除氧器温度 2,℃,0.9856738448143004,1.6634546163575226,1.212298035621643,-0.2510421574115753,0.5428563422903415,140.12599182128906,186.6000061035156,35689
DEA,TCN,20260802,train,SYG1_10LAA10CL101,#1 机除氧器液位 1,mm,0.4476064443588257,22.258575501356987,14.070684432983398,-0.1734309792518615,0.5269410742805907,1799.865966796875,2373.44384765625,35689
DEA,TCN,20260802,train,SYG1_10LAA10CL102,#1 机除氧器液位 2,mm,0.498466432094574,22.938608251922265,14.26716423034668,0.1676584035158157,0.530135335817759,1745.8189697265625,2377.288818359375,35689
DEA,TCN,20260802,train,SYG1_10LAA10CL103,#1 机除氧器液位 3,mm,0.4775457382202148,21.617658305995256,13.559233665466309,0.4886015653610229,0.5430244613186136,1803.925048828125,2460.60205078125,35689
DEA,TCN,20260802,train,SYG1_10LAA10CL101-SEL,#1 机除氧器液位三选,-,0.4702357053756714,21.53257802734977,13.259195327758787,-0.0223061982542276,,1797.94287109375,2375.15283203125,35689
DEA,TCN,20260802,train,SYG1_10CBA00CBK00R107,#1汽机除氧器出口O2（汽水取样画面的除氧器出口溶解氧）,μg/L,0.0788872838020324,3.7745064115885465,0.9639458060264589,-0.0487146638333797,0.9931071198408472,0.0630000829696655,100.58699798583984,35689
DEA,TCN,20260802,val,SYG1_10LAA10CP101,#1 机除氧器压力 1,MPa,-51.40794372558594,1.3765732261421684,0.2434093803167343,0.2136692702770233,0.968893879842785,0.2540000081062317,1.0740000009536743,8905
DEA,TCN,20260802,val,SYG1_10LAA10CP102,#1 机除氧器压力 2,MPa,-92.18982696533205,1.8291542872514703,0.3182004392147064,0.3008500039577484,0.9669848399775408,0.2520000040531158,1.065000057220459,8905
DEA,TCN,20260802,val,SYG1_10LAA10CT101,#1 机除氧器温度 1,℃,-175.65968322753906,127.9953688737409,21.86958122253418,20.82648086547852,0.6105558674901741,140.25601196289062,186.7330017089844,8905
DEA,TCN,20260802,val,SYG1_10LAA10CT102,#1 机除氧器温度 2,℃,-236.89349365234372,147.78864765265294,25.45772933959961,24.1823673248291,0.5199326221224031,140.12599182128906,186.6000061035156,8905
DEA,TCN,20260802,val,SYG1_10LAA10CL101,#1 机除氧器液位 1,mm,-26.966053009033203,161.20676503717206,42.75407028198242,-28.26087188720703,0.3949466591802358,1799.865966796875,2373.44384765625,8905
DEA,TCN,20260802,val,SYG1_10LAA10CL102,#1 机除氧器液位 2,mm,-46.75395965576172,219.6618050407262,54.80035781860352,-42.31527328491211,0.313307130825379,1745.8189697265625,2377.288818359375,8905
DEA,TCN,20260802,val,SYG1_10LAA10CL103,#1 机除氧器液位 3,mm,-51.91606140136719,217.13878950166875,54.70680236816406,-43.41186141967773,0.3014037057832678,1803.925048828125,2460.60205078125,8905
DEA,TCN,20260802,val,SYG1_10LAA10CL101-SEL,#1 机除氧器液位三选,-,-35.02360153198242,178.98922475424322,47.94566345214844,-37.13008117675781,,1797.94287109375,2375.15283203125,8905
DEA,TCN,20260802,val,SYG1_10CBA00CBK00R107,#1汽机除氧器出口O2（汽水取样画面的除氧器出口溶解氧）,μg/L,-2242.18212890625,31.766858528681272,5.942582607269287,-4.500107288360596,0.9691184727681078,0.0630000829696655,100.58699798583984,8905
DEA,TCN,20260802,test,SYG1_10LAA10CP101,#1 机除氧器压力 1,MPa,-49.68598937988281,1.062302514964914,0.0756583213806152,0.0252262763679027,0.99481205271325,0.2540000081062317,1.0740000009536743,43177
DEA,TCN,20260802,test,SYG1_10LAA10CP102,#1 机除氧器压力 2,MPa,-93.24153137207033,1.4308331178114382,0.0821839794516563,0.0620939843356609,0.9853394168191398,0.2520000040531158,1.065000057220459,43177
DEA,TCN,20260802,test,SYG1_10LAA10CT101,#1 机除氧器温度 1,℃,-145.86390686035156,106.1319978920707,6.632692813873291,3.633619785308838,0.334298353289946,140.25601196289062,186.7330017089844,43177
DEA,TCN,20260802,test,SYG1_10LAA10CT102,#1 机除氧器温度 2,℃,-189.50982666015625,120.53365226410838,6.981255054473877,4.476518630981445,0.3649165064733539,140.12599182128906,186.6000061035156,43177
DEA,TCN,20260802,test,SYG1_10LAA10CL101,#1 机除氧器液位 1,mm,-43.42512893676758,157.82834697662838,27.37462043762207,7.102987289428711,0.3447205688213632,1799.865966796875,2373.44384765625,43177
DEA,TCN,20260802,test,SYG1_10LAA10CL102,#1 机除氧器液位 2,mm,-73.7191390991211,200.55129097689695,27.027257919311523,1.3001127243041992,0.3716793663292957,1745.8189697265625,2377.288818359375,43177
DEA,TCN,20260802,test,SYG1_10LAA10CL103,#1 机除氧器液位 3,mm,-90.53321838378906,201.644585998484,24.14847946166992,-4.043937206268311,0.4849109479584038,1803.925048828125,2460.60205078125,43177
DEA,TCN,20260802,test,SYG1_10LAA10CL101-SEL,#1 机除氧器液位三选,-,-68.74968719482422,172.97709724664418,21.78892135620117,-1.9044934511184688,,1797.94287109375,2375.15283203125,43177
DEA,TCN,20260802,test,SYG1_10CBA00CBK00R107,#1汽机除氧器出口O2（汽水取样画面的除氧器出口溶解氧）,μg/L,-2172.280029296875,27.427023866682905,1.8078742027282717,-1.3863550424575806,0.994418324570952,0.0630000829696655,100.58699798583984,43177
DEA,TCN,20260803,train,SYG1_10LAA10CP101,#1 机除氧器压力 1,MPa,0.9894614815711976,0.0248382118881799,0.0178734846413135,-0.002365639898926,0.9981226708509624,0.2540000081062317,1.0740000009536743,35689
DEA,TCN,20260803,train,SYG1_10LAA10CP102,#1 机除氧器压力 2,MPa,0.990553379058838,0.0234063495316668,0.0166719947010278,3.62997998308856e-05,0.9970298971671944,0.2520000040531158,1.065000057220459,35689
DEA,TCN,20260803,train,SYG1_10LAA10CT101,#1 机除氧器温度 1,℃,0.9895578026771544,1.4237665861669095,1.0491657257080078,0.0685861408710479,0.5863711507747486,140.25601196289062,186.7330017089844,35689
DEA,TCN,20260803,train,SYG1_10LAA10CT102,#1 机除氧器温度 2,℃,0.9871311783790588,1.5765789503708083,1.139993667602539,0.1321303397417068,0.564907954832021,140.12599182128906,186.6000061035156,35689
DEA,TCN,20260803,train,SYG1_10LAA10CL101,#1 机除氧器液位 1,mm,0.395757257938385,23.279775278376697,14.47242546081543,0.5534974336624146,0.5267729552523186,1799.865966796875,2373.44384765625,35689
DEA,TCN,20260803,train,SYG1_10LAA10CL102,#1 机除氧器液位 2,mm,0.4348695278167724,24.34957859058473,14.693689346313477,0.2942152917385101,0.5309198912830284,1745.8189697265625,2377.288818359375,35689
DEA,TCN,20260803,train,SYG1_10LAA10CL103,#1 机除氧器液位 3,mm,0.4175386428833008,22.82538297400848,14.13340950012207,0.3418652415275574,0.5392137633444478,1803.925048828125,2460.60205078125,35689
DEA,TCN,20260803,train,SYG1_10LAA10CL101-SEL,#1 机除氧器液位三选,-,0.3963702321052551,22.984762700673027,14.135045051574709,0.612848699092865,,1797.94287109375,2375.15283203125,35689
DEA,TCN,20260803,train,SYG1_10CBA00CBK00R107,#1汽机除氧器出口O2（汽水取样画面的除氧器出口溶解氧）,μg/L,0.0214029550552368,3.890502805208029,0.8815584182739258,-0.0202995724976062,0.9981787105270532,0.0630000829696655,100.58699798583984,35689
DEA,TCN,20260803,val,SYG1_10LAA10CP101,#1 机除氧器压力 1,MPa,-1.9634194374084477,0.3273386843341727,0.0753924921154975,-0.0622100196778774,0.968332397529478,0.2540000081062317,1.0740000009536743,8905
DEA,TCN,20260803,val,SYG1_10LAA10CP102,#1 机除氧器压力 2,MPa,-4.972071647644043,0.4630507502064643,0.0930852368474006,-0.0800812095403671,0.968669286917462,0.2520000040531158,1.065000057220459,8905
DEA,TCN,20260803,val,SYG1_10LAA10CT101,#1 机除氧器温度 1,℃,0.0588549971580505,9.342299741130391,2.58304500579834,-1.4277087450027466,0.5353172375070185,140.25601196289062,186.7330017089844,8905
DEA,TCN,20260803,val,SYG1_10LAA10CT102,#1 机除氧器温度 2,℃,-2.1336817741394043,16.96200714182425,3.9220290184021,2.371117353439331,0.4450308815272319,140.12599182128906,186.6000061035156,8905
DEA,TCN,20260803,val,SYG1_10LAA10CL101,#1 机除氧器液位 1,mm,0.0169420838356018,30.22436748944002,17.248586654663086,1.3229583501815796,0.5067939359910163,1799.865966796875,2373.44384765625,8905
DEA,TCN,20260803,val,SYG1_10LAA10CL102,#1 机除氧器液位 2,mm,-0.1890761852264404,34.66208598855708,18.39657211303711,1.486403226852417,0.491184727681078,1745.8189697265625,2377.288818359375,8905
DEA,TCN,20260803,val,SYG1_10LAA10CL103,#1 机除氧器液位 3,mm,-0.267925500869751,33.61170486752439,19.500076293945312,-3.7649972438812256,0.4330151600224592,1803.925048828125,2460.60205078125,8905
