device,model,tag,name_cn,unit,seeds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,tolerance_mean
H1,TCN,SYG1_10LAB61CT101,#1 高压给水加热器出口温度,℃,3,0.9938311775525411,0.0010220854193078186,1.1172706401661907,0.094710787629885,0.8907111485799154,0.11482405373534303,0.627332453235133
H1,TCN,SYG1_10LAD10CL101-CAL,#1 高压加热器水位 1,mm,3,0.41155709822972614,0.014011339429236222,11.458533610117208,0.1366431627866901,9.171424547831217,0.09457532237029366,0.6131582401124055
H1,TCN,SYG1_10LAD10CL102-CAL,#1 高压加热器水位 2,mm,3,0.40258429447809857,0.031149309274946455,11.328718916016603,0.2958825303180573,9.013267199198404,0.24633403860102485,0.625055006137527
H1,TCN,SYG1_10LAD10CL103-CAL,#1 高压加热器水位 3,mm,3,0.5143844286600748,0.01075469401571865,10.703303858277941,0.11879572283506092,8.50700569152832,0.06846952068251194,0.6541831685079247
H1,TCN,SYG1_10LAD10CP101,#1 高压加热器压力,MPa,3,0.995934267838796,0.0014486846822820442,0.0913454810875926,0.01686725894097071,0.07005312666296953,0.01696301606034448,0.7599956767105943
H1,TCN,SYG1_10LCH11CT101,#1 高加汽侧疏水温度,℃,3,0.9943488240242004,0.0005472624958502922,1.02023571446385,0.04903711183420962,0.813561757405599,0.03382630244652511,0.6774594498614231
H1,iTransformer-small,SYG1_10LAB61CT101,#1 高压给水加热器出口温度,℃,3,0.9782051841417948,0.0048316056921372825,2.095796816064845,0.24206456510871274,1.4940317074457805,0.2114440406785282,0.4638889532235526
H1,iTransformer-small,SYG1_10LAD10CL101-CAL,#1 高压加热器水位 1,mm,3,0.33635995785395306,0.006071182653678089,12.169163429641822,0.05569711107232919,9.767212549845377,0.02534862932236799,0.580478804301673
H1,iTransformer-small,SYG1_10LAD10CL102-CAL,#1 高压加热器水位 2,mm,3,0.3110749125480652,0.00484005166879428,12.168174329318132,0.04273450551239917,9.68566099802653,0.020759594750053696,0.5907852174382966
H1,iTransformer-small,SYG1_10LAD10CL103-CAL,#1 高压加热器水位 3,mm,3,0.42056987682978314,0.01696799420247184,11.691199717612937,0.17061577554836158,9.298631032307943,0.11272142267148025,0.6099620940161042
H1,iTransformer-small,SYG1_10LAD10CP101,#1 高压加热器压力,MPa,3,0.9808508157730103,0.0029520545812788987,0.2000883146517807,0.015364735853104388,0.14912689228852585,0.0159118658462343,0.447460453482178
H1,iTransformer-small,SYG1_10LCH11CT101,#1 高加汽侧疏水温度,℃,3,0.9782733718554179,0.004048964654632227,1.9959572324201063,0.19015326368122912,1.4423541227976482,0.1815186055833138,0.4711227428183215
