protocol,split,target_tag,name_cn,group,rows,min,max,mean,std
10d300d_expanded_2024,train,SYG1_10MAA50CT111A,超高压内缸壁温90%处#1,Y4_VHP缸体与内部蒸汽,14400,550.594,587.082,570.672145,5.169262432339035
10d300d_expanded_2024,train,SYG1_10MAA50CT112A,超高压内缸壁温90%处#2,Y4_VHP缸体与内部蒸汽,14400,559.091,598.931,583.933005,6.1781880072245965
10d300d_expanded_2024,train,SYG1_10MAA50CT131A,超高压缸蒸汽温度100%,Y4_VHP缸体与内部蒸汽,14400,507.557,536.187,525.0717973611112,5.049100700542156
10d300d_expanded_2024,train,SYG1_10MAA50CT132A,超高压缸蒸汽温度50%,Y4_VHP缸体与内部蒸汽,14400,511.138,534.041,524.5430614583333,4.429069044209591
10d300d_expanded_2024,train,SYG1_10MAA50CT151A,超高压缸中部上半汽缸温度50%,Y4_VHP缸体与内部蒸汽,14400,508.218,530.98,521.519768125,4.523182368525762
10d300d_expanded_2024,train,SYG1_10MAA50CT152A,超高压缸中部下半汽缸温度50%,Y4_VHP缸体与内部蒸汽,14400,509.265,531.267,521.7561759027778,4.300370443341017
10d300d_expanded_2024,train,SYG1_10MAL41CT101A,#1抽汽逆止门前疏水阀后温度,Y5_疏水热状态,14400,23.226,36.649,26.778495555555555,2.2132357899206765
10d300d_expanded_2024,train,SYG1_10MAL67CT101A,超高压冷再热逆止阀前疏水阀后温度,Y5_疏水热状态,14400,26.925,62.953,31.389395486111113,4.760334462636022
10d300d_expanded_2024,test,SYG1_10MAA50CP101,超高压缸叶片级压力#1,Y1_VHP本体,384999,6.205,23.681,14.576473063566397,4.348692532291536
10d300d_expanded_2024,test,SYG1_10MAA50CP102,超高压缸叶片级压力#2,Y1_VHP本体,384999,6.203,23.703,14.580593123618502,4.347758922043581
10d300d_expanded_2024,test,SYG1_10MAA50CP103,超高压缸叶片级压力#3,Y1_VHP本体,384999,6.224,23.678,14.58079876830849,4.347681308089161
10d300d_expanded_2024,test,SYG1_10MAA50CT121A,超高压排汽蒸汽温度#1,Y1_VHP本体,384999,330.051,440.589,413.1532561720939,5.281710016633478
10d300d_expanded_2024,test,SYG1_10MAA50CT122A,超高压排汽蒸汽温度#2,Y1_VHP本体,384999,331.327,438.604,410.8242582292421,5.280776857790977
10d300d_expanded_2024,test,SYG1_10MAA50CT123A,超高压排汽蒸汽温度#3,Y1_VHP本体,384999,330.389,438.482,411.0191602601565,5.271400230934073
10d300d_expanded_2024,test,SYG1_10LBC01CP101,超高压缸A侧排汽垂直管压力,Y1_VHP本体,384999,2.869,11.417,7.055946529731246,2.1200894834537323
10d300d_expanded_2024,test,SYG1_10LBC02CP101,超高压缸B侧排汽垂直管压力,Y1_VHP本体,384999,2.888,11.513,7.10992212707046,2.136167735790164
10d300d_expanded_2024,test,SYG1_10LBC01CT101,超高压缸A侧排汽垂直管温度,Y1_VHP本体,384999,331.978,443.869,412.12579745401933,5.4843429374038735
10d300d_expanded_2024,test,SYG1_10LBC02CT101,超高压缸B侧排汽垂直管温度,Y1_VHP本体,384999,334.077,445.786,414.8286181990083,5.502613333220512
10d300d_expanded_2024,test,SYG1_10LBQ10CP101,一级抽汽口压力,Y2_一级抽汽接口,384999,2.838,11.335,7.0121889537375415,2.1052838120675172
10d300d_expanded_2024,test,SYG1_10LBQ10CT101A,一级抽汽口温度,Y2_一级抽汽接口,384999,333.426,445.055,414.67050966106405,5.3916407449405614
10d300d_expanded_2024,test,SYG1_10LBQ10CT102,一级抽汽逆止门前水平管管顶温度,Y2_一级抽汽接口,384999,328.669,441.962,411.30752244031805,5.33843242945252
