device,stage,model,graph,seed,label_fraction,shuffle_labels,hidden,head_hidden,dropout,learning_rate,finetune_encoder,test,best_val_macro_f1,best_epoch,pretrain_val_mse,accuracy,macro_precision,macro_recall,macro_f1
H3,final,CNN,KG,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.9878229003964916,25,,0.953125,0.95625612945407,0.953125,0.9535374394361988
H3,final,CNN,KG,101,1,False,32,96,0.05,0.0015,False,weak,0.9878229003964916,25,,0.4392361111111111,0.7217396146564206,0.439236111111111,0.4043102838833156
H3,final,CNN,KG,123,1,False,32,96,0.05,0.0015,False,iid,0.9860742727225,16,,0.96875,0.9689528389576836,0.96875,0.9687412959024688
H3,final,CNN,KG,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.9860742727225,16,,0.9652777777777778,0.9655146305097382,0.9652777777777776,0.9653095383505692
H3,final,CNN,KG,123,1,False,32,96,0.05,0.0015,False,weak,0.9860742727225,16,,0.4392361111111111,0.7232579336551299,0.4392361111111111,0.4044929861997392
H3,final,CNN,KG,202,1,False,32,96,0.05,0.0015,False,iid,0.9878529774723548,23,,0.9861111111111112,0.9862010321369928,0.9861111111111112,0.9860789488712918
H3,final,CNN,KG,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.9878529774723548,23,,0.9496527777777778,0.9536854524701902,0.9496527777777776,0.9500545899352336
H3,final,CNN,KG,202,1,False,32,96,0.05,0.0015,False,weak,0.9878529774723548,23,,0.4149305555555556,0.7583689125303412,0.4149305555555556,0.3736540106789727
H3,final,GCN-NodeAware,Corr,101,1,False,32,96,0.05,0.0015,False,iid,0.9722258152232556,3,0.51021808385849,0.9670138888888888,0.9683374011474888,0.9670138888888888,0.9670930976166264
H3,final,GCN-NodeAware,Corr,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.9722258152232556,3,0.51021808385849,0.9253472222222222,0.9323917563705708,0.9253472222222222,0.9257278622108716
H3,final,GCN-NodeAware,Corr,101,1,False,32,96,0.05,0.0015,False,weak,0.9722258152232556,3,0.51021808385849,0.4010416666666667,0.7422188219896838,0.4010416666666666,0.3649311213127827
H3,final,GCN-NodeAware,Corr,123,1,False,32,96,0.05,0.0015,False,iid,0.9688492028601406,7,0.4930268228054046,0.9722222222222222,0.9723419540229884,0.9722222222222222,0.9722641473290262
H3,final,GCN-NodeAware,Corr,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.9688492028601406,7,0.4930268228054046,0.9131944444444444,0.9213334028513284,0.9131944444444444,0.9138090915742292
H3,final,GCN-NodeAware,Corr,123,1,False,32,96,0.05,0.0015,False,weak,0.9688492028601406,7,0.4930268228054046,0.40625,0.7246295728591866,0.40625,0.3680229198963254
H3,final,GCN-NodeAware,Corr,202,1,False,32,96,0.05,0.0015,False,iid,0.9826386368341384,18,0.5115633010864258,0.9704861111111112,0.9707689692023704,0.9704861111111112,0.970574775879986
H3,final,GCN-NodeAware,Corr,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.9826386368341384,18,0.5115633010864258,0.9270833333333334,0.9317299662883124,0.9270833333333334,0.9273491694432228
H3,final,GCN-NodeAware,Corr,202,1,False,32,96,0.05,0.0015,False,weak,0.9826386368341384,18,0.5115633010864258,0.4947916666666667,0.7470441595441595,0.4947916666666667,0.4875191499304541
H3,final,GCN-NodeAware,Identity,101,1,False,32,96,0.05,0.0015,False,iid,0.965385525641398,5,0.5158067941665649,0.9756944444444444,0.976172032193159,0.9756944444444444,0.9757729694852432
H3,final,GCN-NodeAware,Identity,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.965385525641398,5,0.5158067941665649,0.9201388888888888,0.9306412337662338,0.920138888888889,0.9208677640027428
H3,final,GCN-NodeAware,Identity,101,1,False,32,96,0.05,0.0015,False,weak,0.965385525641398,5,0.5158067941665649,0.4340277777777778,0.763144430647535,0.4340277777777778,0.4039665527207403
H3,final,GCN-NodeAware,Identity,123,1,False,32,96,0.05,0.0015,False,iid,0.9669544225586876,9,0.5098452568054199,0.96875,0.9693302367395864,0.96875,0.9688997505337136
H3,final,GCN-NodeAware,Identity,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.9669544225586876,9,0.5098452568054199,0.8975694444444444,0.912895099143557,0.8975694444444445,0.8964667913540093
H3,final,GCN-NodeAware,Identity,123,1,False,32,96,0.05,0.0015,False,weak,0.9669544225586876,9,0.5098452568054199,0.4444444444444444,0.7449061069496463,0.4444444444444444,0.4115450476662168
H3,final,GCN-NodeAware,Identity,202,1,False,32,96,0.05,0.0015,False,iid,0.9808778066010612,18,0.5192703604698181,0.9722222222222222,0.9723397940917958,0.9722222222222222,0.97225763939126
H3,final,GCN-NodeAware,Identity,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.9808778066010612,18,0.5192703604698181,0.9079861111111112,0.916225369458128,0.907986111111111,0.9081222349079492
H3,final,GCN-NodeAware,Identity,202,1,False,32,96,0.05,0.0015,False,weak,0.9808778066010612,18,0.5192703604698181,0.4739583333333333,0.7233772800823772,0.4739583333333333,0.4602988576730346
H3,final,GCN-NodeAware,KG,101,1,False,32,96,0.05,0.0015,False,iid,0.973961776964607,5,0.5104206204414368,0.9722222222222222,0.9723815474769758,0.9722222222222222,0.9722258675707888
H3,final,GCN-NodeAware,KG,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.973961776964607,5,0.5104206204414368,0.9184027777777778,0.92822200599034,0.9184027777777778,0.9189316716928312
H3,final,GCN-NodeAware,KG,101,1,False,32,96,0.05,0.0015,False,weak,0.973961776964607,5,0.5104206204414368,0.4409722222222222,0.7565392783013463,0.4409722222222222,0.4137422614276009
H3,final,GCN-NodeAware,KG,123,1,False,32,96,0.05,0.0015,False,iid,0.9671469883146376,6,0.4926804006099701,0.9722222222222222,0.9724328251113964,0.9722222222222222,0.9722870993379544
H3,final,GCN-NodeAware,KG,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.9671469883146376,6,0.4926804006099701,0.921875,0.9295412590616324,0.921875,0.9227279580423976
H3,final,GCN-NodeAware,KG,123,1,False,32,96,0.05,0.0015,False,weak,0.9671469883146376,6,0.4926804006099701,0.3975694444444444,0.7484153368794326,0.3975694444444444,0.3544162361344771
